t,phase,relative_distance,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,carrier_x,carrier_y,carrier_z,mini_x,mini_y,mini_z,carrier_sp_x,carrier_sp_y,carrier_sp_z,mini_target_x,mini_target_y,mini_target_z,measured_rel_x,measured_rel_y,measured_rel_z,measured_rel_distance,measured_rel_vx,measured_rel_vy,measured_rel_vz,measured_rel_speed
2.680,IDLE,61.993601,-3.932501,61.463462,7.070000,-6.694821,7.428282,1.200000,54.000000,-30.000000,0.400000,49.729234,31.831670,7.530000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-4.270766,61.831670,7.130000,62.387753,-6.765289,7.364161,1.200000,10.071743
2.720,IDLE,62.387753,-4.270766,61.831670,7.130000,-6.765289,7.364161,1.200000,54.000000,-30.000000,0.400000,49.729234,31.831670,7.530000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-4.270766,61.831670,7.130000,62.387753,-6.765289,7.364161,1.200000,10.071743
2.781,IDLE,62.780521,-4.612518,62.196643,7.190000,-6.835045,7.299463,1.200000,54.000000,-30.000000,0.400000,49.042278,32.558353,7.650000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-4.957722,62.558353,7.250000,63.171901,-6.904087,7.234195,1.200000,10.071743
2.840,IDLE,63.561887,-5.306343,62.916771,7.310000,-6.972416,7.168362,1.200000,54.000000,-30.000000,0.400000,48.693657,32.916771,7.710000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-5.306343,62.916771,7.310000,63.561887,-6.972416,7.168362,1.200000,10.071743
2.881,IDLE,63.561887,-5.306343,62.916771,7.310000,-6.972416,7.168362,1.200000,54.000000,-30.000000,0.400000,48.693657,32.916771,7.710000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-5.306343,62.916771,7.310000,63.561887,-6.972416,7.168362,1.200000,10.071743
2.920,IDLE,63.950475,-5.658345,63.271869,7.370000,-7.040030,7.101970,1.200000,54.000000,-30.000000,0.400000,48.341655,33.271869,7.770000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-5.658345,63.271869,7.370000,63.950475,-7.040030,7.101970,1.200000,10.071743
2.980,IDLE,64.337660,-6.013691,63.623621,7.430000,-7.106927,7.035026,1.200000,54.000000,-30.000000,0.400000,47.986309,33.623621,7.830000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-6.013691,63.623621,7.430000,64.337660,-7.106927,7.035026,1.200000,10.071743
3.020,IDLE,64.723437,-6.372346,63.971997,7.490000,-7.173108,6.967534,1.200000,54.000000,-30.000000,0.400000,47.265725,34.316973,7.950000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-6.734275,64.316973,7.550000,65.107802,-7.238570,6.899501,1.200000,10.071743
3.080,IDLE,65.107802,-6.734275,64.316973,7.550000,-7.238570,6.899501,1.200000,54.000000,-30.000000,0.400000,46.900559,34.658519,8.010000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-7.099441,64.658519,7.610000,65.490749,-7.303312,6.830932,1.200000,10.071743
3.120,IDLE,65.490749,-7.099441,64.658519,7.610000,-7.303312,6.830932,1.200000,54.000000,-30.000000,0.400000,46.900559,34.658519,8.010000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-7.099441,64.658519,7.610000,65.490749,-7.303312,6.830932,1.200000,10.071743
3.183,IDLE,65.872274,-7.467807,64.996611,7.670000,-7.367334,6.761834,1.200000,54.000000,-30.000000,0.400000,46.532193,34.996611,8.070000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-7.467807,64.996611,7.670000,65.872274,-7.367334,6.761834,1.200000,10.071743
